t,BodyA_x,BodyA_y,BodyB_x,BodyB_y
7.9800000000,0.9985825879,0.0407338624,0.6058226974,0.8882660858
8.0000000000,0.9973191867,0.0567050369,0.5875585453,0.8915287122
8.0200000000,0.9956555744,0.0726534565,0.5691013181,0.8944983771
8.0400000000,0.9935916652,0.0885726662,0.5504530625,0.8971677887
8.0600000000,0.9911273618,0.1044561831,0.5316159972,0.8995294647
8.0800000000,0.9882625560,0.1202974906,0.5125925250,0.9015757278
8.1000000000,0.9849971293,0.1360900321,0.4933852457,0.9032987010
8.1200000000,0.9813309541,0.1518272049,0.4739969700,0.9046903027
8.1400000000,0.9772638945,0.1675023547,0.4544307340,0.9057422419
8.1600000000,0.9727958074,0.1831087687,0.4346898150,0.9064460143
8.1800000000,0.9679265440,0.1986396695,0.4147777485,0.9067928977
8.2000000000,0.9626559511,0.2140882087,0.3946983456,0.9067739481
8.2200000000,0.9569838728,0.2294474603,0.3744557129,0.9063799965
8.2400000000,0.9509101524,0.2447104137,0.3540542720,0.9056016456
8.2600000000,0.9444346344,0.2598699672,0.3334987820,0.9044292673
8.2800000000,0.9375571667,0.2749189204,0.3127943625,0.9028530008
8.3000000000,0.9302776029,0.2898499675,0.2919465182,0.9008627515
8.3200000000,0.9225958053,0.3046556891,0.2709611654,0.8984481904
8.3400000000,0.9145116478,0.3193285451,0.2498446597,0.8955987552
8.3600000000,0.9060250188,0.3338608665,0.2286038264,0.8923036522
8.3800000000,0.8971358251,0.3482448469,0.2072459914,0.8885518594
8.4000000000,0.8878439958,0.3624725345,0.1857790151,0.8843321313
8.4200000000,0.8781494861,0.3765358233,0.1642113278,0.8796330060
8.4400000000,0.8680522823,0.3904264436,0.1425519673,0.8744428137
8.4600000000,0.8575524067,0.4041359530,0.1208106184,0.8687496876
8.4800000000,0.8466499229,0.4176557265,0.0989976545,0.8625415783
