t,BodyA_x,BodyA_y,BodyB_x,BodyB_y
5.5800000000,-0.9383304648,-0.5536874777,-0.2254195456,-0.5872663736
5.6000000000,-0.9256425313,-0.5617170310,-0.2103247769,-0.5889301519
5.6200000000,-0.9127731748,-0.5696364895,-0.1951887853,-0.5904785017
5.6400000000,-0.8997249177,-0.5774443012,-0.1800145373,-0.5919111196
5.6600000000,-0.8865003174,-0.5851389355,-0.1648050071,-0.5932277248
5.6800000000,-0.8731019658,-0.5927188846,-0.1495631756,-0.5944280593
5.7000000000,-0.8595324891,-0.6001826626,-0.1342920302,-0.5955118878
5.7200000000,-0.8457945468,-0.6075288067,-0.1189945639,-0.5964789978
5.7400000000,-0.8318908314,-0.6147558772,-0.1036737752,-0.5973291999
5.7600000000,-0.8178240681,-0.6218624574,-0.0883326666,-0.5980623274
5.7800000000,-0.8035970139,-0.6288471546,-0.0729742452,-0.5986782366
5.8000000000,-0.7892124572,-0.6357085998,-0.0576015211,-0.5991768067
5.8200000000,-0.7746732174,-0.6424454481,-0.0422175072,-0.5995579401
5.8400000000,-0.7599821442,-0.6490563792,-0.0268252189,-0.5998215621
5.8600000000,-0.7451421169,-0.6555400973,-0.0114276729,-0.5999676210
5.8800000000,-0.7301560441,-0.6618953317,0.0039721129,-0.5999960882
5.9000000000,-0.7150268631,-0.6681208366,0.0193711202,-0.5999069580
5.9200000000,-0.6997575391,-0.6742153921,0.0347663308,-0.5997002480
5.9400000000,-0.6843510648,-0.6801778034,0.0501547273,-0.5993759987
5.9600000000,-0.6688104600,-0.6860069021,0.0655332937,-0.5989342735
5.9800000000,-0.6531387704,-0.6917015457,0.0808990157,-0.5983751592
6.0000000000,-0.6373390677,-0.6972606179,0.0962488818,-0.5976987653
6.0200000000,-0.6214144487,-0.7026830293,0.1115798834,-0.5969052243
6.0400000000,-0.6053680343,-0.7079677171,0.1268890157,-0.5959946918
6.0600000000,-0.5892029698,-0.7131136455,0.1421732782,-0.5949673463
6.0800000000,-0.5729224234,-0.7181198059,0.1574296751,-0.5938233891
6.1000000000,-0.5565295860,-0.7229852171,0.1726552164,-0.5925630444
6.1200000000,-0.5400276706,-0.7277089255,0.1878469177,-0.5911865592
6.1400000000,-0.5234199115,-0.7322900053,0.2030018017,-0.5896942033
6.1600000000,-0.5067095637,-0.7367275586,0.2181168980,-0.5880862693
6.1800000000,-0.4898999026,-0.7410207156,0.2331892441,-0.5863630722
6.2000000000,-0.4729942226,-0.7451686350,0.2482158858,-0.5845249499
6.2200000000,-0.4559958372,-0.7491705037,0.2631938780,-0.5825722626
6.2400000000,-0.4389080782,-0.7530255374,0.2781202850,-0.5805053929
6.2600000000,-0.4217342945,-0.7567329805,0.2929921814,-0.5783247460
6.2800000000,-0.4044778523,-0.7602921063,0.3078066522,-0.5760307494
